PresetParser,PluginId,ProgramName,BankPath,Hash,LastUpdated
u_he_BazilleCM,1967276877,HS Third Pluck,Factory/03 Leads,4n58xA==                          ,
u_he_ColourCopy,1967946098,Flooding,Factory,wVQlwQ==                                        ,
u_he_Diva,1147754081,FMR MM 75 UFO,Factory/THIRD PARTY/Fernando's hardware factory,uIyM0A== ,
u_he_Filterscape,1095583057,grasshopper tas,Factory/tasmaniandevil,t5tf5Q==                 ,
u_he_FilterscapeQ6,1179865398,FEV_Mug,Factory/FEV_,JGiLYQ==                                 ,
u_he_FilterscapeVA,1179866689,FX_DrumSweep,Factory/FEV_,c/A0rw==                            ,
u_he_Hive,1749636677,ST Retro Stab 1,Factory/07 Chords,HoUX5g==                             ,
u_he_MFM2,1296452914,jungle jock,Factory/04 dub-feed,o14NTQ==                               ,
u_he_Podolski,1349477487,drippy 03 tas,Factory/Legacy,llEV5A==                              ,
u_he_Presswerk,1969770583,DG_Classic VCA Snare,Factory/Drums,qezpng==                       ,
u_he_Protoverb,1969770582,Lively Room,Factory,sDn2MQ==                                      ,
u_he_Repro1,1968332593,CK Bodyrox,Factory/01 Basses,/SvczA==                                ,
u_he_Repro5,1968332597,JH Sticks on Wood ,Factory/05 Keys - Plucks & Mallets,gwHjYw==       ,
u_he_Runciter,1382232375,rezone,Factory/Factory,AK5PYw==                                    ,
u_he_Satin,1969771348,LC Bee-Lay,Factory/Delay Mode,ajgohw==                                ,
u_he_TripleCheese,1667388281,bio Hard Cheese (mod whl),Factory/biolabs,xmbXNw==             ,
u_he_Twangstrom,1969771607,Liquid Machine Room 2,Factory,0zrHvA==                           ,
u_he_TyrellN6,1952017974,LEAD Jumper,Factory/Various,j2V9FQ==                               ,
u_he_UhbikA,1432568113,carlsbad,Factory/Factory,8p+v3A==                                    ,
u_he_UhbikD,1432568881,dreamland,Factory/Factory,/siptA==                                   ,
u_he_UhbikF,1432569393,compiler,Factory/Factory,dVrO4w==                                    ,
u_he_UhbikG,1432569649,phase booth,Factory/PhaseVoc,EkBucQ==                                ,
u_he_UhbikP,1432571953,bass mover,Factory/Factory,3NuF0Q==                                  ,
u_he_UhbikQ,1432572209,narrow mind,Factory/Factory,lHsxNg==                                 ,
u_he_UhbikS,1432572721,Robot Voice,Factory,TSUCbw==                                         ,
u_he_UhbikT,1432572977,Mellow Space,Factory,Rwbz8A==                                        ,
u_he_Zebra2,1397572658,HS Delay Kitten,Factory/2 Leaders,tYA7ww==                           ,
u_he_ZebraCM,1516593997,Sub piax,Factory/Subject,5fTfLw==                                   ,
u_he_Zebralette,1397572659,SM thinner 03,Factory/Rhythmic,Ugtzhw==                          ,
u_he_Zebrify,1397578034,Rodeo,Factory,jdE4uw==                                              ,
ValhallaDSP_ValhallaPlate,1886151028,MED-Radium Drum Warehouse,Factory/MEDIUM,b8PXKw==,
ValhallaDSP_ValhallaRoom,1383429485,426 ConcertHall,Den,b9IeTQ==,
ValhallaDSP_ValhallaUberMod,1969382770,Slow2TapChorus,Chorus,RJK8zw==,
ValhallaDSP_ValhallaVintageVerb,1986356531,CH-Kick Blowing Up,Factory/Chaotic,I+3r+w==,
Xfer_Records_Serum,1483109208,BA Dizzy [7S],Bass (Hard),8334IA==,
Spectrasonics_Omnisphere,1097687666,Pop Female2 Scoop Ahs,Omnisphere Library/Human Voices/Pop Stacks,9ZfLMA==,2019-03-25 13:57:44
