ValuePath,MemoryAddress,MemorySize,FileAddress,FileSize,PrimitiveTypeName,PrimitiveTypeLength,PrimitiveTypeBits,Range,DefaultValue
dm.SYSTEM.EFX.DELAY TYPE,786432,1,1368,1,int,1,7,"0,2",0
dm.SYSTEM.EFX.DELAY TAP TIME,786433,1,1369,1,int,1,7,"0,100",50
dm.SYSTEM.EFX.DELAY FEEDBACK,786434,1,1370,1,int,1,7,"0,100",60
dm.SYSTEM.EFX.DELAY LPF,786435,1,1371,1,int,1,7,"0,14",7
dm.SYSTEM.EFX1.REVERB TYPE,786560,1,1372,1,int,1,7,"0,4",4
dm.SYSTEM.EFX1.REVERB TIME,786561,1,1373,1,int,1,7,"0,99",30
dm.SYSTEM.EFX1.REVERB PRE DELAY,786562,1,1374,1,int,1,7,"0,100",20
dm.SYSTEM.EFX1.REVERB HPF,786563,1,1375,1,int,1,7,"0,17",3
dm.SYSTEM.EFX1.REVERB LPF,786564,1,1376,1,int,1,7,"0,14",13
dm.SYSTEM.EFX1.REVERB DENSITY,786565,1,1377,1,int,1,7,"0,10",10
dm.SYSTEM.EFX2.CRUSHER TYPE,786688,1,1378,1,int,1,7,"0,127",1
dm.SETUP.ARP.ARPEGGIO,2621440,1,1379,1,int,1,7,"0,1",0
dm.SETUP.ARP.ARP TYPE,2621441,1,1380,1,int,1,7,"0,5",0
dm.SETUP.ARP.ARP STEP,2621442,1,1381,1,int,1,7,"0,5",0
dm.SETUP.SCAT.SCATTER TYPE,2883584,1,1382,1,int,1,7,"0,9",0
dm.SETUP.SCAT.SCATTER DEPTH,2883585,1,1383,1,int,1,7,"0,14",7
dm.SETUP.SCAT.CTRL1 (LPF CUTOFF),2883586,2,1384,2,int,2,4,"0,200",100
dm.SETUP.SCAT.CTRL2 (HPF CUTOFF),2883588,2,1386,2,int,2,4,"0,200",100
dm.SETUP.SCAT.CTRL3 (RESO),2883590,2,1388,2,int,2,4,"0,200",100
dm.SETUP.SCAT.CTRL4 (COLOR),2883592,2,1390,2,int,2,4,"0,200",100
dm.SETUP.SCAT.CTRL5 (PORTAMENTO),2883594,2,1392,2,int,2,4,"0,200",100
dm.SETUP.SCAT.CTRL6 (CRUSHER),2883596,2,1394,2,int,2,4,"0,200",100
dm.SETUP.SCAT.CTRL7 (CROSS MOD),2883598,2,1396,2,int,2,4,"0,200",100
dm.SYNTH.COM.MASTER VOLUME,4194304,2,1398,2,int,2,4,"0,255",128
dm.SYNTH.COM.KEY TRANSPOSE,4194306,1,1400,1,int,1,7,"0,11",0
dm.SYNTH.COM.TEMPO,4194307,3,1401,3,int,3,4,"0,2600",800
