ValuePath,MemoryAddress,MemorySize,FileAddress,FileSize,PrimitiveTypeName,PrimitiveTypeLength,PrimitiveTypeBits,Range,DefaultValue
fm.usr3X.SEQ_STEP11._reserve_,151019644,8,27778,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP11._reserve_,151019652,8,27786,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP11._reserve_,151019660,8,27794,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP11._reserve_,151019668,8,27802,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP11._reserve_,151019676,8,27810,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP11._reserve_,151019684,8,27818,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP11._reserve_,151019692,8,27826,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP11._reserve_,151019700,8,27834,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP11._reserve_,151019708,8,27842,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP11._reserve_,151019716,8,27850,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP11._reserve_,151019724,8,27858,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP11._reserve_,151019732,8,27866,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP11._reserve_,151019740,8,27874,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP11._reserve_,151019748,8,27882,8,int,8,4,"0,0",0
fm.usr3X.SEQ_STEP12.STEP SEQ Note (voice 1),151021568,1,27890,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP12.STEP SEQ Note (voice 2),151021569,1,27891,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP12.STEP SEQ Note (voice 3),151021570,1,27892,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP12.STEP SEQ Note (voice 4),151021571,1,27893,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP12.STEP SEQ Note (voice 5),151021572,1,27894,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP12.STEP SEQ Note (voice 6),151021573,1,27895,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP12.STEP SEQ Note (voice 7),151021574,1,27896,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP12.STEP SEQ Note (voice 8),151021575,1,27897,1,int,1,7,"0,127",36
fm.usr3X.SEQ_STEP12.STEP SEQ Velo (voice 1),151021576,1,27898,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP12.STEP SEQ Velo (voice 2),151021577,1,27899,1,int,1,7,"0,127",0
fm.usr3X.SEQ_STEP12.STEP SEQ Velo (voice 3),151021578,1,27900,1,int,1,7,"0,127",0
