ValuePath,MemoryAddress,MemorySize,FileAddress,FileSize,PrimitiveTypeName,PrimitiveTypeLength,PrimitiveTypeBits,Range,DefaultValue
fm.pat.com.bendRangeUp,65011753,1,113,1,int,1,7,"0,48",2
fm.pat.com.bendRangeDown,65011754,1,114,1,int,1,7,"0,48",2
fm.pat.com.mtxCtrl1Source,65011755,1,115,1,int,1,7,"0,109",1
fm.pat.com.mtxCtrl1Dest1,65011756,1,116,1,int,1,7,"0,33",9
fm.pat.com.mtxCtrl1Sens1,65011757,1,117,1,int,1,7,"1,127",74
fm.pat.com.mtxCtrl1Dest2,65011758,1,118,1,int,1,7,"0,33",0
fm.pat.com.mtxCtrl1Sens2,65011759,1,119,1,int,1,7,"1,127",64
fm.pat.com.mtxCtrl1Dest3,65011760,1,120,1,int,1,7,"0,33",0
fm.pat.com.mtxCtrl1Sens3,65011761,1,121,1,int,1,7,"1,127",64
fm.pat.com.mtxCtrl1Dest4,65011762,1,122,1,int,1,7,"0,33",0
fm.pat.com.mtxCtrl1Sens4,65011763,1,123,1,int,1,7,"1,127",64
fm.pat.com.mtxCtrl2Source,65011764,1,124,1,int,1,7,"0,109",97
fm.pat.com.mtxCtrl2Dest1,65011765,1,125,1,int,1,7,"0,33",4
fm.pat.com.mtxCtrl2Sens1,65011766,1,126,1,int,1,7,"1,127",64
fm.pat.com.mtxCtrl2Dest2,65011767,1,127,1,int,1,7,"0,33",2
fm.pat.com.mtxCtrl2Sens2,65011768,1,128,1,int,1,7,"1,127",64
fm.pat.com.mtxCtrl2Dest3,65011769,1,129,1,int,1,7,"0,33",0
fm.pat.com.mtxCtrl2Sens3,65011770,1,130,1,int,1,7,"1,127",64
fm.pat.com.mtxCtrl2Dest4,65011771,1,131,1,int,1,7,"0,33",0
fm.pat.com.mtxCtrl2Sens4,65011772,1,132,1,int,1,7,"1,127",64
fm.pat.com.mtxCtrl3Source,65011773,1,133,1,int,1,7,"0,109",2
fm.pat.com.mtxCtrl3Dest1,65011774,1,134,1,int,1,7,"0,33",4
fm.pat.com.mtxCtrl3Sens1,65011775,1,135,1,int,1,7,"1,127",64
fm.pat.com.mtxCtrl3Dest2,65011776,1,136,1,int,1,7,"0,33",2
fm.pat.com.mtxCtrl3Sens2,65011777,1,137,1,int,1,7,"1,127",64
fm.pat.com.mtxCtrl3Dest3,65011778,1,138,1,int,1,7,"0,33",0
fm.pat.com.mtxCtrl3Sens3,65011779,1,139,1,int,1,7,"1,127",64
fm.pat.com.mtxCtrl3Dest4,65011780,1,140,1,int,1,7,"0,33",0
fm.pat.com.mtxCtrl3Sens4,65011781,1,141,1,int,1,7,"1,127",64
fm.pat.com.mtxCtrl4Source,65011782,1,142,1,int,1,7,"0,109",4
fm.pat.com.mtxCtrl4Dest1,65011783,1,143,1,int,1,7,"0,33",4
fm.pat.com.mtxCtrl4Sens1,65011784,1,144,1,int,1,7,"1,127",64
fm.pat.com.mtxCtrl4Dest2,65011785,1,145,1,int,1,7,"0,33",2
fm.pat.com.mtxCtrl4Sens2,65011786,1,146,1,int,1,7,"1,127",64
fm.pat.com.mtxCtrl4Dest3,65011787,1,147,1,int,1,7,"0,33",0
fm.pat.com.mtxCtrl4Sens3,65011788,1,148,1,int,1,7,"1,127",64
fm.pat.com.mtxCtrl4Dest4,65011789,1,149,1,int,1,7,"0,33",0
fm.pat.com.mtxCtrl4Sens4,65011790,1,150,1,int,1,7,"1,127",64
fm.pat.com.partModulation,65011791,1,151,1,int,1,7,"0,1",0
fm.pat.mfx.mfxType,65011968,1,152,1,int,1,7,"0,78",0
fm.pat.mfx.MFX DRY SEND,65011969,1,153,1,int,1,7,"0,127",127
fm.pat.mfx.MFX CHO SEND,65011970,1,154,1,int,1,7,"0,127",0
fm.pat.mfx.MFX REV SEND,65011971,1,155,1,int,1,7,"0,127",0
fm.pat.mfx.mfxOutAssign,65011972,1,156,1,int,1,7,"0,1",0
fm.pat.mfx.mfxCtrl1Source,65011973,1,157,1,int,1,7,"0,97",0
fm.pat.mfx.mfxCtrl1Sens,65011974,1,158,1,int,1,7,"1,127",64
fm.pat.mfx.mfxCtrl2Source,65011975,1,159,1,int,1,7,"0,97",0
fm.pat.mfx.mfxCtrl2Sens,65011976,1,160,1,int,1,7,"1,127",64
fm.pat.mfx.mfxCtrl3Source,65011977,1,161,1,int,1,7,"0,97",0
fm.pat.mfx.mfxCtrl3Sens,65011978,1,162,1,int,1,7,"1,127",64
fm.pat.mfx.mfxCtrl4Source,65011979,1,163,1,int,1,7,"0,97",0
fm.pat.mfx.mfxCtrl4Sens,65011980,1,164,1,int,1,7,"1,127",64
fm.pat.mfx.ctrlAssign1,65011981,1,165,1,int,1,7,"0,16",0
fm.pat.mfx.ctrlAssign2,65011982,1,166,1,int,1,7,"0,16",0
fm.pat.mfx.ctrlAssign3,65011983,1,167,1,int,1,7,"0,16",0
fm.pat.mfx.ctrlAssign4,65011984,1,168,1,int,1,7,"0,16",0
fm.pat.mfx.mfxPrm1,65011985,4,169,4,int,4,4,"12768,52768",32768
fm.pat.mfx.mfxPrm2,65011989,4,173,4,int,4,4,"12768,52768",32768
fm.pat.mfx.mfxPrm3,65011993,4,177,4,int,4,4,"12768,52768",32768
fm.pat.mfx.mfxPrm4,65011997,4,181,4,int,4,4,"12768,52768",32768
fm.pat.mfx.mfxPrm5,65012001,4,185,4,int,4,4,"12768,52768",32768
fm.pat.mfx.mfxPrm6,65012005,4,189,4,int,4,4,"12768,52768",32768
fm.pat.mfx.mfxPrm7,65012009,4,193,4,int,4,4,"12768,52768",32768
fm.pat.mfx.mfxPrm8,65012013,4,197,4,int,4,4,"12768,52768",32768
fm.pat.mfx.mfxPrm9,65012017,4,201,4,int,4,4,"12768,52768",32768
fm.pat.mfx.mfxPrm10,65012021,4,205,4,int,4,4,"12768,52768",32768
fm.pat.mfx.mfxPrm11,65012025,4,209,4,int,4,4,"12768,52768",32768
